,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,metro_cost,metro_travel_time,metro_Comfort,metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2
1666,3,30,1,2,12,20,1,10,15,15,3,2
3266,3,20,3,2,5,15,1,10,15,15,5,10
2026,3,20,3,5,12,15,3,2,7,10,5,10
537,15,30,1,5,8,10,5,5,20,15,3,10
694,3,30,3,2,5,20,1,5,15,15,5,2
200,3,30,5,10,5,20,5,2,7,25,3,10
879,3,30,1,5,5,20,5,2,20,15,1,10
1320,15,30,1,10,12,15,5,5,7,10,5,5
3682,3,20,1,5,12,15,3,10,7,15,1,2
429,3,20,3,2,8,20,3,5,15,10,3,5
3940,3,30,3,10,8,15,3,2,20,10,1,10
2894,15,30,1,2,5,20,5,10,20,15,1,5
998,3,10,1,2,12,10,5,5,7,25,5,10
218,8,30,1,5,12,15,5,10,15,15,1,2
3530,8,10,5,10,12,20,3,5,7,15,1,10
2428,3,10,3,10,5,10,5,10,15,10,5,10
3833,8,20,5,10,5,10,1,10,7,25,5,5
2036,15,30,3,2,8,10,3,5,7,25,1,2
3738,3,10,3,10,12,15,3,2,20,10,5,2
1439,15,10,5,5,12,20,3,5,15,25,3,10
2528,8,10,3,10,8,20,3,5,15,15,1,10
2809,15,10,1,2,8,10,1,5,15,15,5,2
416,15,10,3,5,12,10,3,5,20,15,3,10
403,15,10,1,2,5,15,3,5,7,15,1,10
1024,15,10,5,5,5,10,1,2,15,10,3,2
949,15,10,1,2,8,15,1,5,15,10,5,10
2120,3,10,1,2,5,10,3,10,20,15,5,5
2380,15,20,5,2,8,10,5,10,20,25,1,10
4621,15,10,1,10,8,20,1,5,15,25,1,2
1587,15,10,5,2,5,20,1,2,20,25,3,5
1203,8,10,3,10,8,10,3,2,7,15,1,5
2384,3,30,5,2,12,15,1,5,15,15,1,10
510,3,30,1,10,8,15,3,2,15,15,1,5
3065,3,20,5,2,5,10,1,10,20,25,5,5
3195,3,20,5,5,8,10,1,5,15,25,5,5
2163,3,20,3,2,8,10,3,2,7,15,1,2
714,15,30,5,2,5,15,3,2,15,15,5,5
1629,3,30,1,2,12,20,5,10,20,10,3,5
3516,3,30,3,5,5,10,1,10,7,10,1,2
4164,3,10,1,2,8,20,1,2,7,25,1,10
3004,8,10,3,2,12,10,1,5,20,10,1,2
3627,15,10,5,10,8,10,3,2,7,15,1,5
918,8,30,5,5,8,15,1,2,15,10,3,2
1810,3,20,1,2,8,10,3,10,15,25,5,10
663,8,30,5,5,8,15,3,10,15,10,5,2
1388,3,30,1,5,8,20,3,10,7,15,5,2
3057,8,30,1,10,12,20,1,5,15,10,5,5
1517,15,10,3,2,12,15,5,2,7,15,1,2
3069,8,10,1,10,5,20,5,10,20,10,3,2
1007,8,10,3,2,8,15,5,10,20,15,3,10
2109,3,10,5,10,12,10,3,2,7,15,5,5
3736,8,20,3,10,8,20,5,10,7,15,1,5
4191,8,20,3,5,5,10,1,10,7,15,5,10
4238,15,10,5,5,5,15,5,2,15,15,1,10
4598,8,20,5,2,5,10,1,10,20,10,1,10
557,15,20,3,5,5,10,5,10,15,15,5,2
1277,8,10,3,5,8,20,1,10,15,10,1,10
1684,8,30,1,10,8,10,5,2,20,25,3,5
2041,3,20,3,2,5,10,1,10,20,25,3,10
2840,15,10,3,10,8,20,5,5,20,10,3,10
61,15,10,5,10,12,15,3,5,15,10,1,2
1167,8,20,1,2,8,20,3,2,7,25,1,5
2244,15,10,1,5,5,20,3,5,7,15,3,10
383,8,10,1,5,5,20,3,2,15,10,1,5
3120,3,30,1,5,8,15,3,10,15,25,1,5
2096,3,10,1,5,8,20,3,2,15,25,3,10
1762,3,10,1,10,8,15,5,5,15,10,3,5
3434,3,20,3,10,8,10,3,2,15,25,3,10
1419,3,20,5,5,8,10,1,5,20,10,1,2
229,15,20,5,2,8,20,5,10,15,25,3,2
845,8,30,1,2,5,15,1,10,20,15,3,2
4653,8,30,5,10,8,20,5,10,20,10,5,5
3723,8,30,3,5,8,20,3,10,7,15,1,10
2802,3,10,5,5,8,15,5,2,7,10,5,5
3827,3,30,3,5,8,15,3,5,7,25,5,5
2478,3,10,3,2,8,15,1,10,7,25,5,10
2052,3,30,5,2,8,15,3,2,20,25,5,5
1586,3,30,5,10,12,15,5,2,15,25,5,5
1726,8,20,3,10,12,20,3,2,7,10,3,10
295,15,10,5,2,8,10,5,2,7,10,1,2
3394,15,20,3,5,8,20,5,2,7,15,1,10
1184,15,20,1,10,12,10,1,5,20,25,1,2
74,15,30,1,5,8,15,5,10,15,10,3,5
4347,3,30,5,10,12,20,3,10,15,10,5,5
