,CS,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,Metro_cost,Metro_travel_time,Metro_Comfort,Metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2,Plane_cost,Plane_travel_time,Plane_Comfort,Plane_CO2
265,266,15,10,5,10,12,10,1,5,7,25,1,10,20,20,5,10
1760,1761,8,30,5,2,8,10,5,2,20,25,5,2,15,20,3,10
2271,2272,15,30,1,2,12,10,1,2,15,10,3,10,20,30,1,10
3291,3292,3,20,5,2,12,15,5,2,15,15,3,5,15,30,1,5
7154,7155,8,30,3,5,5,15,1,5,15,10,3,5,7,30,5,5
6837,6838,3,30,5,5,12,20,5,10,7,10,3,5,20,30,3,10
2581,2582,8,30,1,2,8,10,1,5,20,15,3,2,20,10,1,2
4777,4778,8,30,1,5,8,10,5,5,7,25,1,5,15,10,5,5
2182,2183,15,20,1,5,12,10,3,5,15,25,3,10,15,30,5,5
2246,2247,15,20,1,5,5,15,1,2,20,10,3,5,20,30,5,10
3480,3481,8,10,3,10,5,10,5,10,15,10,1,2,20,20,3,10
5469,5470,15,10,3,5,12,10,1,5,7,10,3,10,20,30,3,5
259,260,15,20,1,2,8,15,5,10,15,10,1,5,15,30,5,5
7054,7055,3,10,1,10,5,10,5,2,20,10,1,5,15,30,5,10
2935,2936,3,10,1,5,5,10,5,2,20,15,3,10,15,10,3,2
7509,7510,8,10,5,10,12,20,5,5,20,15,1,5,15,10,5,2
330,331,8,30,1,2,5,10,3,2,20,15,5,10,20,20,3,10
1821,1822,8,10,5,10,8,15,1,10,15,10,5,2,20,20,1,10
2853,2854,8,30,5,2,8,10,1,2,7,25,3,2,15,30,3,2
2459,2460,8,30,1,2,5,15,3,5,20,10,3,10,20,10,1,10
159,160,15,10,5,10,5,20,5,5,20,15,5,5,15,10,1,5
4722,4723,8,10,5,10,5,10,3,5,7,25,5,2,15,20,1,5
161,162,8,10,1,10,8,20,3,5,7,10,3,2,15,10,5,5
5902,5903,8,30,3,2,12,15,3,2,20,15,1,5,15,30,5,10
4663,4664,3,10,5,5,5,20,5,10,15,15,1,5,20,30,3,10
2241,2242,15,20,1,2,8,20,5,2,20,15,3,10,15,20,5,5
3678,3679,15,10,5,2,12,10,5,2,20,25,5,10,20,20,1,5
3173,3174,15,20,1,5,5,15,3,10,20,15,1,2,7,20,3,2
1058,1059,3,30,3,2,8,10,3,5,20,15,5,2,20,20,1,5
1639,1640,8,10,3,5,12,20,5,5,15,15,5,10,7,30,5,5
1551,1552,3,20,3,2,8,10,3,5,15,15,5,10,20,10,1,2
5194,5195,15,20,3,5,12,15,3,5,20,25,5,5,20,20,3,2
160,161,3,30,1,2,12,15,3,5,7,10,1,5,7,30,1,10
2275,2276,8,10,3,2,12,15,3,2,7,25,1,10,7,30,5,2
217,218,3,10,1,10,5,20,1,5,20,25,5,10,20,30,1,10
61,62,15,20,5,2,8,10,3,5,15,15,1,10,15,10,5,10
1516,1517,3,30,3,5,8,15,1,2,15,25,1,10,20,30,3,10
4418,4419,3,30,5,2,5,10,5,10,20,10,5,10,15,20,5,10
7491,7492,8,20,3,2,5,10,3,5,20,25,1,5,15,20,3,2
1489,1490,3,10,3,5,8,20,1,5,15,15,5,2,7,20,1,5
5155,5156,8,20,3,2,8,10,1,5,7,10,5,2,7,30,3,2
6874,6875,15,30,1,10,8,10,5,2,15,25,3,10,7,10,1,10
4988,4989,8,30,5,2,12,15,3,2,7,25,5,5,20,10,3,10
6142,6143,8,10,1,10,8,15,5,10,15,10,3,5,20,20,5,10
5561,5562,15,30,1,2,8,10,1,2,20,25,3,10,20,30,5,2
499,500,15,30,1,10,8,15,5,5,7,15,3,5,15,30,1,5
6526,6527,8,20,5,10,12,20,1,10,20,10,1,10,20,20,1,10
3260,3261,3,10,3,2,12,20,1,5,7,10,5,5,20,20,3,5
5996,5997,15,20,3,10,12,20,1,10,7,10,5,2,15,10,3,10
707,708,3,20,1,2,5,15,3,5,7,25,5,5,15,10,1,10
7585,7586,3,10,3,10,8,10,3,5,15,10,1,10,7,30,3,2
4405,4406,8,30,5,2,5,20,5,2,15,25,5,10,7,20,3,10
6294,6295,15,30,5,2,5,10,3,10,7,10,1,2,15,10,3,10
4699,4700,8,20,5,10,8,10,1,5,20,25,3,2,15,10,5,10
2819,2820,15,20,5,5,12,15,3,5,7,25,1,2,15,10,1,5
1091,1092,15,10,5,5,8,20,1,5,15,10,5,2,20,10,3,5
2834,2835,15,30,1,10,5,20,5,2,7,15,3,2,15,10,1,10
4892,4893,3,10,5,10,12,10,5,10,7,25,3,5,15,30,3,2
6249,6250,3,30,1,5,12,10,1,2,20,25,1,5,20,20,3,10
5238,5239,15,10,1,10,8,15,5,2,15,25,3,10,7,10,1,10
6048,6049,8,20,5,10,5,20,5,10,20,10,1,10,20,30,3,5
7042,7043,15,10,1,10,5,20,3,2,7,10,1,10,7,30,1,10
4642,4643,8,30,1,5,8,15,3,10,15,10,3,10,7,10,1,10
2973,2974,3,30,3,10,5,10,3,10,20,10,1,10,7,10,3,5
5760,5761,8,30,3,5,8,15,1,2,15,15,3,10,15,20,3,2
6386,6387,15,20,1,2,12,20,3,10,15,10,3,10,15,10,1,10
1811,1812,15,20,1,10,8,10,5,10,15,25,5,10,15,30,1,2
324,325,8,20,3,10,8,20,3,5,7,10,5,5,15,10,1,2
7548,7549,8,30,5,5,12,10,1,10,20,10,1,2,7,30,3,10
5140,5141,15,10,1,5,12,20,5,2,7,15,3,10,20,30,1,2
562,563,8,20,5,2,8,10,1,10,15,10,3,2,20,30,3,2
255,256,8,10,5,2,5,20,3,5,15,25,5,2,15,30,1,10
2152,2153,3,30,5,10,5,10,5,10,7,15,1,10,20,10,3,10
2823,2824,8,30,1,10,12,15,3,5,7,10,1,10,20,10,1,2
5723,5724,15,10,5,5,8,15,5,10,7,10,1,10,15,30,3,10
2705,2706,3,30,1,5,5,20,5,2,15,25,1,10,15,10,1,5
5873,5874,3,30,5,2,12,10,5,2,15,10,3,5,7,20,3,5
5175,5176,8,10,3,10,5,20,5,2,15,25,5,5,15,20,3,2
679,680,8,20,5,5,12,10,1,10,7,10,5,10,7,10,5,5
3542,3543,3,10,1,5,5,15,3,2,7,10,3,2,7,30,1,10
2041,2042,15,30,3,5,12,20,3,10,15,10,1,5,20,10,3,2
6482,6483,8,20,1,10,5,15,1,2,7,10,5,5,7,10,5,5
3163,3164,3,20,1,5,5,20,5,2,20,25,5,2,15,30,5,10
5479,5480,15,30,3,5,12,15,1,2,7,25,3,10,7,20,1,5
4243,4244,3,10,1,5,12,15,5,2,20,25,1,2,15,10,1,2
2014,2015,8,30,5,10,12,15,5,2,20,10,3,2,20,10,1,10
