GROUP_EXPERIMENT,AB_GROUP,participant,PROLIFIC_PID,SOURCE_FILE,Trial,trial_rank,n_trials_participant,Choice,TrialDuration,Bus_cost,metro_cost,RH_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,metro_travel_time,metro_Comfort,metro_CO2,RH_travel_time,RH_Comfort,RH_CO2,trial_101_200,NorTrial_pre,NorTrial_101_200,NorTrial_10
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,1,1,300,2,18.1151,15,12,15,20,5,10,15,5,2,15,1,2,0,0,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,2,2,300,1,7.3494,3,12,15,20,5,2,10,1,2,10,5,10,0,0.010101010101010102,0,0.1111111111111111
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,3,3,300,2,9.4498,15,12,20,20,1,10,15,1,10,15,3,2,0,0.020202020202020204,0,0.2222222222222222
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,4,4,300,2,4.2832,15,5,7,20,3,5,15,1,2,15,3,5,0,0.030303030303030304,0,0.3333333333333333
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,5,5,300,1,5.3664,3,12,20,10,5,2,10,3,10,15,1,2,0,0.04040404040404041,0,0.4444444444444444
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,6,6,300,2,9.9663,15,8,15,30,3,5,20,5,10,25,3,10,0,0.050505050505050504,0,0.5555555555555556
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,7,7,300,1,6.2997,8,5,15,10,3,10,20,1,10,10,1,2,0,0.06060606060606061,0,0.6666666666666666
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,8,8,300,2,7.833,15,12,15,10,5,10,10,3,10,10,1,2,0,0.0707070707070707,0,0.7777777777777778
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,9,9,300,2,17.0183,8,5,20,30,5,5,10,5,5,15,5,2,0,0.08080808080808081,0,0.8888888888888888
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,10,10,300,1,10.8685,15,12,20,20,5,5,20,1,5,15,5,10,0,0.09090909090909091,0,1
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,11,11,300,2,7.0829,15,12,20,10,3,5,10,5,2,10,1,5,0,0.10101010101010101,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,12,12,300,2,9.5664,15,5,20,10,1,10,20,5,5,25,3,2,0,0.1111111111111111,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,13,13,300,1,8,3,5,20,10,5,2,15,3,10,15,3,5,0,0.12121212121212122,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,14,14,300,2,5.0998,15,12,7,30,5,5,10,3,10,10,1,2,0,0.13131313131313133,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,15,15,300,1,17.7832,3,12,7,20,5,5,15,1,10,25,3,10,0,0.1414141414141414,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,16,16,300,1,15.9313,3,5,20,10,1,2,15,3,5,10,1,10,0,0.15151515151515152,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,17,17,300,2,8.7499,8,5,15,20,3,2,20,1,5,25,3,2,0,0.16161616161616163,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,18,18,300,2,3.1665,15,5,15,20,1,2,10,3,2,25,1,10,0,0.1717171717171717,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,19,19,300,2,4.6332,8,5,15,10,5,2,10,5,5,25,5,2,0,0.18181818181818182,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,20,20,300,2,4.9002,15,12,15,30,3,5,15,3,10,15,5,5,0,0.1919191919191919,0,0
BAB_5,AB_5,1,5755c957eb80c4000741a9ce,205_5755c957eb80c4000741a9ce.csv,21,21,300,1,5.2019,8,8,7,10,3,10,15,1,5,10,3,5,0,0.20202020202020202,0,0
