product1,product1_Quality,product1_Brand_Rep,product1_Calories,product1_Flavour,product2,product2_Quality,product2_Brand_Rep,product2_Calories,product2_Flavour
Colalola,8,9,150,9,Bohney,7,7,250,6
Haphy,9,10,120,9,Bohney,7,7,250,6
Mohshom,7,8,200,7,Haphy,9,10,120,9
Colalola,8,9,150,9,Phospho,9,8,180,8
Phospho,9,8,180,8,Colalola,8,9,150,9
Bohney,7,7,250,6,Phospho,9,8,180,8
Phospho,9,8,180,8,Haphy,9,10,120,9
Colalola,8,9,150,9,Haphy,9,10,120,9
Haphy,9,10,120,9,Phospho,9,8,180,8
Haphy,9,10,120,9,Colalola,8,9,150,9
Mohshom,7,8,200,7,Bohney,7,7,250,6
Colalola,8,9,150,9,Mohshom,7,8,200,7
Phospho,9,8,180,8,Bohney,7,7,250,6
Haphy,9,10,120,9,Mohshom,7,8,200,7
Bohney,7,7,250,6,Colalola,8,9,150,9
Mohshom,7,8,200,7,Colalola,8,9,150,9
Bohney,7,7,250,6,Haphy,9,10,120,9
Phospho,9,8,180,8,Mohshom,7,8,200,7
Mohshom,7,8,200,7,Phospho,9,8,180,8
Bohney,7,7,250,6,Mohshom,7,8,200,7
